poutcome,job,marital,education,default,housing,loan,contact,day,month,campaign,duration,pdays,previous,age,balance,y
unknown,management,married,tertiary,no,yes,no,unknown,5,may,1,261,-1,0,58,2143,no
unknown,technician,single,secondary,no,yes,no,unknown,5,may,1,151,-1,0,44,29,no
unknown,entrepreneur,married,secondary,no,yes,yes,unknown,5,may,1,76,-1,0,33,2,no
unknown,blue-collar,married,unknown,no,yes,no,unknown,5,may,1,92,-1,0,47,1506,no
unknown,unknown,single,unknown,no,no,no,unknown,5,may,1,198,-1,0,33,1,no
unknown,management,married,tertiary,no,yes,no,unknown,5,may,1,139,-1,0,35,231,no
unknown,management,single,tertiary,no,yes,yes,unknown,5,may,1,217,-1,0,28,447,no
unknown,entrepreneur,divorced,tertiary,yes,yes,no,unknown,5,may,1,380,-1,0,42,2,no
unknown,retired,married,primary,no,yes,no,unknown,5,may,1,50,-1,0,58,121,no
unknown,technician,single,secondary,no,yes,no,unknown,5,may,1,55,-1,0,43,593,no
unknown,admin.,divorced,secondary,no,yes,no,unknown,5,may,1,222,-1,0,41,270,no
unknown,admin.,single,secondary,no,yes,no,unknown,5,may,1,137,-1,0,29,390,no
unknown,technician,married,secondary,no,yes,no,unknown,5,may,1,517,-1,0,53,6,no
unknown,technician,married,unknown,no,yes,no,unknown,5,may,1,71,-1,0,58,71,no
unknown,services,married,secondary,no,yes,no,unknown,5,may,1,174,-1,0,57,162,no
unknown,retired,married,primary,no,yes,no,unknown,5,may,1,353,-1,0,51,229,no
unknown,admin.,single,unknown,no,yes,no,unknown,5,may,1,98,-1,0,45,13,no
unknown,blue-collar,married,primary,no,yes,no,unknown,5,may,1,38,-1,0,57,52,no
unknown,retired,married,primary,no,yes,no,unknown,5,may,1,219,-1,0,60,60,no
unknown,services,married,secondary,no,yes,no,unknown,5,may,1,54,-1,0,33,0,no
unknown,blue-collar,married,secondary,no,yes,yes,unknown,5,may,1,262,-1,0,28,723,no
unknown,management,married,tertiary,no,yes,no,unknown,5,may,1,164,-1,0,56,779,no
unknown,blue-collar,single,primary,no,yes,yes,unknown,5,may,1,160,-1,0,32,23,no
unknown,services,married,secondary,no,yes,no,unknown,5,may,1,342,-1,0,25,50,no
unknown,retired,married,primary,no,yes,yes,unknown,5,may,1,181,-1,0,40,0,no
unknown,admin.,married,secondary,no,yes,no,unknown,5,may,1,172,-1,0,44,-372,no
unknown,management,single,tertiary,no,yes,no,unknown,5,may,1,296,-1,0,39,255,no
unknown,entrepreneur,married,secondary,no,yes,yes,unknown,5,may,1,127,-1,0,52,113,no
unknown,management,single,secondary,no,yes,no,unknown,5,may,2,255,-1,0,46,-246,no
unknown,technician,single,secondary,no,yes,yes,unknown,5,may,1,348,-1,0,36,265,no
unknown,technician,married,secondary,no,no,yes,unknown,5,may,1,225,-1,0,57,839,no
unknown,management,married,tertiary,no,yes,no,unknown,5,may,1,230,-1,0,49,378,no
unknown,admin.,married,secondary,no,yes,yes,unknown,5,may,1,208,-1,0,60,39,no
unknown,blue-collar,married,secondary,no,yes,no,unknown,5,may,1,226,-1,0,59,0,no
unknown,management,married,tertiary,no,yes,no,unknown,5,may,1,336,-1,0,51,10635,no
unknown,technician,divorced,secondary,no,yes,no,unknown,5,may,1,242,-1,0,57,63,no
