 sex, workclass, race, education, native-country, marital-status, occupation, relationship, education-num, fnlwgt, capital-gain, capital-loss, hours-per-week,age, income
 Male, State-gov, White, Bachelors, United-States, Never-married, Adm-clerical, Not-in-family,13,77516,2174,0,40,39, <=50K
 Male, Self-emp-not-inc, White, Bachelors, United-States, Married-civ-spouse, Exec-managerial, Husband,13,83311,0,0,13,50, <=50K
 Male, Private, White, HS-grad, United-States, Divorced, Handlers-cleaners, Not-in-family,9,215646,0,0,40,38, <=50K
 Male, Private, Black, 11th, United-States, Married-civ-spouse, Handlers-cleaners, Husband,7,234721,0,0,40,53, <=50K
 Female, Private, Black, Bachelors, Cuba, Married-civ-spouse, Prof-specialty, Wife,13,338409,0,0,40,28, <=50K
 Female, Private, White, Masters, United-States, Married-civ-spouse, Exec-managerial, Wife,14,284582,0,0,40,37, <=50K
 Female, Private, Black, 9th, Jamaica, Married-spouse-absent, Other-service, Not-in-family,5,160187,0,0,16,49, <=50K
 Male, Self-emp-not-inc, White, HS-grad, United-States, Married-civ-spouse, Exec-managerial, Husband,9,209642,0,0,45,52, >50K
 Female, Private, White, Masters, United-States, Never-married, Prof-specialty, Not-in-family,14,45781,14084,0,50,31, >50K
 Male, Private, White, Bachelors, United-States, Married-civ-spouse, Exec-managerial, Husband,13,159449,5178,0,40,42, >50K
 Male, Private, Black, Some-college, United-States, Married-civ-spouse, Exec-managerial, Husband,10,280464,0,0,80,37, >50K
 Male, State-gov, Asian-Pac-Islander, Bachelors, India, Married-civ-spouse, Prof-specialty, Husband,13,141297,0,0,40,30, >50K
 Female, Private, White, Bachelors, United-States, Never-married, Adm-clerical, Own-child,13,122272,0,0,30,23, <=50K
 Male, Private, Black, Assoc-acdm, United-States, Never-married, Sales, Not-in-family,12,205019,0,0,50,32, <=50K
 Male, Private, Asian-Pac-Islander, Assoc-voc, ?, Married-civ-spouse, Craft-repair, Husband,11,121772,0,0,40,40, >50K
 Male, Private, Amer-Indian-Eskimo, 7th-8th, Mexico, Married-civ-spouse, Transport-moving, Husband,4,245487,0,0,45,34, <=50K
 Male, Self-emp-not-inc, White, HS-grad, United-States, Never-married, Farming-fishing, Own-child,9,176756,0,0,35,25, <=50K
 Male, Private, White, HS-grad, United-States, Never-married, Machine-op-inspct, Unmarried,9,186824,0,0,40,32, <=50K
 Male, Private, White, 11th, United-States, Married-civ-spouse, Sales, Husband,7,28887,0,0,50,38, <=50K
 Female, Self-emp-not-inc, White, Masters, United-States, Divorced, Exec-managerial, Unmarried,14,292175,0,0,45,43, >50K
 Male, Private, White, Doctorate, United-States, Married-civ-spouse, Prof-specialty, Husband,16,193524,0,0,60,40, >50K
 Female, Private, Black, HS-grad, United-States, Separated, Other-service, Unmarried,9,302146,0,0,20,54, <=50K
 Male, Federal-gov, Black, 9th, United-States, Married-civ-spouse, Farming-fishing, Husband,5,76845,0,0,40,35, <=50K
 Male, Private, White, 11th, United-States, Married-civ-spouse, Transport-moving, Husband,7,117037,0,2042,40,43, <=50K
 Female, Private, White, HS-grad, United-States, Divorced, Tech-support, Unmarried,9,109015,0,0,40,59, <=50K
 Male, Local-gov, White, Bachelors, United-States, Married-civ-spouse, Tech-support, Husband,13,216851,0,0,40,56, >50K
 Male, Private, White, HS-grad, United-States, Never-married, Craft-repair, Own-child,9,168294,0,0,40,19, <=50K
 Male, ?, Asian-Pac-Islander, Some-college, South, Married-civ-spouse, ?, Husband,10,180211,0,0,60,54, >50K
 Male, Private, White, HS-grad, United-States, Divorced, Exec-managerial, Not-in-family,9,367260,0,0,80,39, <=50K
 Male, Private, White, HS-grad, United-States, Married-civ-spouse, Craft-repair, Husband,9,193366,0,0,40,49, <=50K
 Male, Local-gov, White, Assoc-acdm, United-States, Never-married, Protective-serv, Not-in-family,12,190709,0,0,52,23, <=50K
 Male, Private, Black, Some-college, United-States, Never-married, Sales, Own-child,10,266015,0,0,44,20, <=50K
 Male, Private, White, Bachelors, United-States, Divorced, Exec-managerial, Own-child,13,386940,0,1408,40,45, <=50K
 Male, Federal-gov, White, Some-college, United-States, Married-civ-spouse, Adm-clerical, Own-child,10,59951,0,0,40,30, <=50K
 Male, State-gov, Black, Some-college, United-States, Married-civ-spouse, Other-service, Husband,10,311512,0,0,15,22, <=50K
 Male, Private, White, 11th, Puerto-Rico, Never-married, Machine-op-inspct, Unmarried,7,242406,0,0,40,48, <=50K
 Male, Private, White, Some-college, United-States, Never-married, Machine-op-inspct, Own-child,10,197200,0,0,40,21, <=50K
 Female, Private, White, HS-grad, United-States, Married-AF-spouse, Adm-clerical, Wife,9,544091,0,0,25,19, <=50K
 Male, Private, White, Some-college, ?, Married-civ-spouse, Sales, Husband,10,84154,0,0,38,31, >50K
