RowNumber,Age,Balance,CreditScore,EstimatedSalary,NumOfProducts,IsActiveMember,Tenure,Geography,Gender,HasCrCard,Exited
1,42,0,619,101348.88,1,1,2,France,Female,1,1
2,41,83807.86,608,112542.58,1,1,1,Spain,Female,0,0
3,42,159660.8,502,113931.57,3,0,8,France,Female,1,1
4,39,0,699,93826.63,2,0,1,France,Female,0,0
5,43,125510.82,850,79084.1,1,1,2,Spain,Female,1,0
6,44,113755.78,645,149756.71,2,0,8,Spain,Male,1,1
7,50,0,822,10062.8,2,1,7,France,Male,1,0
8,29,115046.74,376,119346.88,4,0,4,Germany,Female,1,1
9,44,142051.07,501,74940.5,2,1,4,France,Male,0,0
10,27,134603.88,684,71725.73,1,1,2,France,Male,1,0
11,31,102016.72,528,80181.12,2,0,6,France,Male,0,0
12,24,0,497,76390.01,2,0,3,Spain,Male,1,0
13,34,0,476,26260.98,2,0,10,France,Female,1,0
14,25,0,549,190857.79,2,0,5,France,Female,0,0
15,35,0,635,65951.65,2,1,7,Spain,Female,1,0
16,45,143129.41,616,64327.26,2,1,3,Germany,Male,0,0
17,58,132602.88,653,5097.67,1,0,1,Germany,Male,1,1
18,24,0,549,14406.41,2,1,9,Spain,Female,1,0
19,45,0,587,158684.81,1,0,6,Spain,Male,0,0
20,24,0,726,54724.03,2,1,6,France,Female,1,0
21,41,0,732,170886.17,2,1,8,France,Male,1,0
22,32,0,636,138555.46,2,0,8,Spain,Female,1,0
23,38,0,510,118913.53,1,0,4,Spain,Female,1,1
24,46,0,669,8487.75,2,1,3,France,Male,0,0
25,38,0,846,187616.16,1,1,5,France,Female,1,0
26,25,0,577,124508.29,2,1,3,France,Male,0,0
27,36,136815.64,756,170041.95,1,1,2,Germany,Male,1,0
28,44,0,571,38433.35,2,0,9,France,Male,0,0
29,43,141349.43,574,100187.43,1,1,3,Germany,Female,1,0
30,29,59697.17,411,53483.21,2,1,0,France,Male,1,0
31,39,0,591,140469.38,3,0,3,Spain,Female,1,1
32,36,85311.7,533,156731.91,1,1,7,France,Male,0,0
33,41,110112.54,553,81898.81,2,0,9,Germany,Male,0,0
34,42,0,520,34410.55,2,1,6,Spain,Female,1,0
35,29,0,722,142033.07,2,1,9,Spain,Female,1,0
36,45,134264.04,475,27822.99,1,0,0,France,Female,1,1
37,31,145260.23,490,114066.77,1,1,3,Spain,Male,0,0
38,33,76548.6,804,98453.45,1,1,7,Spain,Male,0,0
39,36,0,850,40812.9,1,1,7,France,Male,1,0
40,41,70349.48,582,178074.04,2,1,6,Germany,Male,0,0
41,40,0,472,70154.22,1,0,4,Spain,Male,1,0
42,51,122522.32,465,181297.65,1,0,8,France,Female,0,1
43,61,117419.35,556,94153.83,1,1,2,France,Female,1,0
44,49,131394.56,834,194365.76,1,0,2,France,Female,0,1
45,61,155931.11,660,158338.39,1,1,5,Spain,Female,1,0
46,32,109421.13,776,126517.46,2,1,4,Germany,Female,1,0
47,27,112045.67,829,119708.21,1,1,9,Germany,Female,1,1
48,39,137843.8,637,117622.8,1,1,9,Germany,Female,1,1
49,38,103391.38,550,90878.13,1,1,2,Germany,Male,0,0
50,37,103769.22,776,194099.12,2,0,2,Germany,Female,1,0
51,44,116363.37,698,198059.16,2,0,10,Germany,Male,1,0
52,36,146050.97,585,86424.57,2,0,5,Germany,Male,0,0
53,33,0,788,116978.19,2,0,5,France,Female,0,0
54,41,125561.97,655,164040.94,1,0,8,Germany,Male,0,1
55,42,98495.72,601,40014.76,1,0,1,Germany,Male,1,1
56,43,125211.92,619,113410.49,1,1,1,France,Male,1,0
57,45,127864.4,656,87107.57,1,0,5,France,Male,1,0
58,19,75888.2,725,45613.75,1,0,0,Germany,Male,0,0
59,66,0,511,1643.11,1,0,4,Spain,Female,1,1
60,51,40685.92,614,46775.28,1,1,4,France,Male,1,0
61,35,136857,742,84509.57,1,0,5,Germany,Male,0,0
62,27,152328.88,687,126494.82,2,0,9,Germany,Female,0,0
63,33,56084.69,555,178798.13,2,0,1,Spain,Male,0,0
64,56,78707.16,684,99398.36,1,1,8,Spain,Male,1,0
65,26,109166.37,603,92840.67,1,1,4,Germany,Male,1,0
66,36,169831.46,751,27758.36,2,1,6,Germany,Female,1,0
67,34,101633.04,581,110431.51,1,0,1,Germany,Female,1,0
68,43,123180.01,735,196673.28,2,1,10,Germany,Male,1,0
69,35,150725.53,661,113656.85,2,1,5,Germany,Female,0,0
70,21,98373.26,675,18203,1,0,8,France,Female,1,0
71,58,133745.44,738,28373.86,4,0,2,Germany,Male,1,1
72,29,0,813,33953.87,1,0,6,France,Male,1,0
73,37,163607.18,657,44203.55,1,1,0,Spain,Female,0,0
74,25,157780.84,604,58426.81,2,1,5,Germany,Female,1,0
75,36,0,519,145562.4,2,1,9,France,Male,0,0
76,21,178718.19,735,22388,2,0,1,France,Female,1,0
77,55,0,664,139161.64,2,1,8,France,Male,1,0
78,32,0,678,148210.64,1,1,9,France,Female,1,0
79,33,77253.22,757,194239.63,1,1,5,Spain,Male,0,0
80,41,122189.66,416,98301.61,2,0,10,Germany,Female,1,0
81,34,96645.54,665,171413.66,2,0,1,France,Female,0,0
82,32,0,777,136458.19,1,0,2,France,Female,1,1
83,36,0,543,26019.59,2,0,3,France,Female,0,0
84,34,90307.62,506,159235.29,1,1,4,France,Female,1,0
85,46,0,493,1907.66,2,0,4,France,Female,1,0
86,75,0,652,114675.75,2,1,10,Spain,Female,1,0
87,22,121681.82,750,128643.35,1,0,3,Spain,Male,1,1
88,30,0,729,151869.35,2,0,9,France,Male,1,0
89,46,0,646,93251.42,3,0,4,France,Female,1,1
90,28,81623.67,635,156791.36,2,1,3,Germany,Female,1,0
91,44,0,647,174205.22,3,1,5,Spain,Female,1,1
92,45,118626.55,808,147132.46,2,0,7,France,Male,1,0
93,36,0,524,109614.57,2,0,10,France,Female,1,0
94,29,0,769,172290.61,2,1,8,France,Male,1,0
95,42,0,730,85982.47,2,1,4,Spain,Male,0,0
96,35,176273.95,515,121277.78,1,1,10,Spain,Male,0,0
97,41,102827.44,773,64595.25,1,1,9,Spain,Male,0,0
98,29,97086.4,814,197276.13,2,1,8,Germany,Male,1,0
99,22,0,710,99645.04,2,0,8,Spain,Male,0,0
100,34,0,413,6534.18,2,0,9,France,Male,0,0
101,40,0,665,161848.03,1,1,6,France,Female,1,0
102,44,0,623,167162.43,2,0,6,France,Female,0,0
103,31,82674.15,738,41970.72,1,0,9,France,Male,1,0
104,36,0,528,60536.56,2,0,7,Spain,Male,1,0
105,65,0,670,177655.68,1,1,1,Spain,Female,1,1
106,46,107073.27,622,30984.59,2,1,4,Spain,Female,1,1
107,32,88938.62,582,10054.53,1,1,1,Germany,Male,1,0
108,36,99806.85,785,36976.52,1,1,2,Germany,Female,0,0
109,33,150092.8,605,71862.79,1,0,5,Spain,Male,0,0
110,35,92833.89,479,99449.86,1,0,9,Germany,Male,1,1
111,30,90536.81,685,63082.88,1,1,3,Germany,Male,0,0
112,39,108055.1,538,27231.26,2,0,7,Germany,Male,1,0
113,42,100238.35,562,86797.41,1,0,2,France,Male,0,0
114,36,106190.55,675,22994.32,1,1,9,Spain,Male,0,0
115,28,154475.54,721,101300.94,2,1,9,Germany,Male,0,1
116,30,132351.29,628,74169.13,2,1,9,Germany,Female,1,0
117,37,167864.4,668,115638.29,1,0,6,Germany,Female,1,0
118,41,0,506,31766.3,2,0,1,France,Female,1,0
119,31,107818.63,524,199725.39,1,0,8,Germany,Female,1,1
120,34,185173.81,699,120834.48,2,0,4,Germany,Male,1,0
121,34,129433.34,828,38131.77,2,0,8,France,Male,0,0
122,39,120193.42,674,100130.95,1,0,6,Spain,Male,0,0
123,39,0,656,141069.88,2,0,6,France,Female,1,0
